Stand September 2025;A 13 brutto;A 13 netto;Anmerkung
Baden-Württemberg; 5.185,88   ; 3.781,80   ;"A 12 gilt nur noch an Grundschulen sowie für Lehrkräfte an Werkrealschulen mit Lehramt ""Hauptschule"""
Bayern; 5.531,82   ; 3.990,91   ;Stufenplan zur Einführung von A 13/EG 13, Zulage 160,- Euro seit Januar 2025
Berlin; 5.081,06   ; 3.717,48   ;A 13/EG 13 für alle voll ausgebildeten Lehrkräfte. Hauptstadtzulage 150 € brutto im Monat.
Brandenburg; 5.072,24   ; 3.711,99   ;Alle Lehrämter in A 13/EG 13
Bremen; 4.970,00   ; 3.648,75   ;Alle Lehrämter in A 13/EG 13
Hamburg; 4.939,24   ; 3.629,57   ;Alle Lehrämter in A 13Z/EG 13
Hessen; 5.000,19   ; 3.667,44   ;Stufenplan für A 13/EG 13 bis 1. August 2028
Mecklenburg-Vorpommern; 4.939,13   ; 3.629,55   ;Alle Lehrämter in A 13/EG 13
Niedersachsen; 4.844,25   ; 3.570,25   ;Alle Lehrämter in A 13/EG 13
Nordrhein-Westfalen; 5.051,74   ; 3.699,41   ;Ab 1. August 2026 alle LK in A 13/EG 13, bis dahin wachsende Zulage
Rheinland-Pfalz; 4.956,45   ; 3.640,28   ;Nur noch Grundschullehrkräfte (und früheres Lehramt Grund- und Hauptschule) sind in A 12
Saarland; 4.744,15   ; 3.507,32   ;Nur Grund- und Hauptschullehrkräfte in A 12
Sachsen; 4.814,46   ; 3.551,54   ;Alle Lehrämter in A 13/EG 13
Sachsen-Anhalt; 4.851,23   ; 3.574,65   ;Seit 1. August 2025 alle Lehrkräfte in A 13/EG 13
Schleswig-Holstein; 4.987,30   ; 3.659,47   ;Seit 1. August 2025 alle Lehrkräfte in A 13/EG 13
Thüringen; 5.185,38   ; 3.781,55   ;Alle Lehrämter in A 13/EG 13



