Stand August 2026;A 13 brutto;A 13 netto;A 12 brutto;A 12 netto
Baden-Württemberg*;6.534,50;4.530,33;5.901,07;4.159,15
Bayern;6.755,36;4.658,32;6.126,06;4.292,56
Berlin;6.714,42;4.634,67;-;-
Brandenburg*;7.134,54;4.859,29;-;-
Bremen*;6.258,76;4.370,34;-;-
Hamburg*;6.286,76;4.386,59;-;-
Hessen;6.938,96;4.755,66;6.651,20;4.598,04
Mecklenburg-Vorpommern;6.309,85;4.400,02;-;-
Niedersachsen;6.364,86;4.431,94;-;-
Nordrhein-Westfalen;6.381,49;4.441,57;-;-
Rheinland-Pfalz;6.449,54;4.481,04;5.822,51;4.112,09
Saarland;6.216,13;4.345,38;5.622,00;3.990,75
Sachsen;6.736,61;4.647,52;-;-
Sachsen-Anhalt;6.368,07;4.433,82;-;-
Schleswig-Holstein;6.578,96;4.556,13;-;-
Thüringen*;6.555,96;4.542,79;-;-

