Bundesland;A 13 brutto;A 13 netto;Anmerkung
Baden-Württemberg; 6.355,28   ; 4.426,36   ;A 12 gilt nur noch an Grundschulen sowie für Lehrkräfte an Werkrealschulen mit Lehramt "Hauptschule"
Bayern; 6.502,36   ; 4.511,70   ;Stufenplan zur Einführung von A 13/EG 13, Zulage 240,- Euro seit Januar 2026
Berlin; 6.451,94   ; 4.482,44   ;A 13/EG 13 für alle voll ausgebildeten Lehrkräfte. Hauptstadtzulage 150 € brutto im Monat.
Brandenburg; 6.244,61   ; 4.362,03   ;Alle Lehrämter in A 13/EG 13
Bremen; 6.074,29   ; 4.262,04   ;Alle Lehrämter in A 13/EG 13
Hamburg; 6.115,53   ; 4.286,36   ;Alle Lehrämter in A 13Z/EG 13
Hessen; 6.384,40   ; 4.443,24   ;Stufenplan für A 13/EG 13 bis 1. August 2028
Mecklenburg-Vorpommern; 6.137,99   ; 4.299,57   ;Alle Lehrämter in A 13/EG 13
Niedersachsen; 6.192,63   ; 4.331,63   ;Alle Lehrämter in A 13/EG 13
Nordrhein-Westfalen; 6.174,04   ; 4.320,79   ;Ab 1. August 2026 alle LK in A 13/EG 13, bis dahin wachsende Zulage
Rheinland-Pfalz; 6.243,50   ; 4.361,42   ;Nur noch Grundschullehrkräfte (und früheres Lehramt Grund- und Hauptschule) sind in A 12
Saarland; 6.046,82   ; 4.245,82   ;Nur Grund- und Hauptschullehrkräfte in A 12
Sachsen; 6.551,85   ; 4.540,43   ;Alle Lehrämter in A 13/EG 13
Sachsen-Anhalt; 6.195,53   ; 4.333,37   ;Seit 1. August 2025 alle Lehrkräfte in A 13/EG 13
Schleswig-Holstein; 6.129,77   ; 4.294,77   ;Seit 1. August 2025 alle Lehrkräfte in A 13/EG 13
Thüringen; 6.377,40   ; 4.439,23   ;Alle Lehrämter in A 13/EG 13

