Stand August 2026;Name der Zulage;Betrag;Lehrkräfte in A 13 Z
Baden-Württemberg;Strukturzulage;118,6;Gymnasien, Berufsbildende Schulen
Bayern;Strukturzulage;111,85;Gymnasien, Berufsbildende Schulen
Berlin;Allgemeine Stellenzulage;117,41;Gymnasien, Berufsbildende Schulen, integrierte Sekundarschule
Brandenburg;Allgemeine Stellenzulage;128,92;Gymnasien, Berufsbildende Schulen
Bremen;Allgemeine Stellenzulage;111,78;alle
Hamburg;Allgemeine Stellenzulage;112,18;alle
Hessen;Allgemeine Stellenzulage;119,94;Gymnasien, Berufsbildende Schulen
Mecklenburg-Vorpommern;Strukturzulage;111,48;Gymnasien, Berufsbildende Schulen
Niedersachsen;Allgemeine Stellenzulage;115,2;Gymnasien, Berufsbildende Schulen
Nordrhein-Westfalen;Strukturzulage;117,25;Gymnasien, Berufsbildende Schulen
Rheinland-Pfalz;Allgemeine Zulage;117,48;Gymnasien, Berufsbildende Schulen
Saarland;Allgemeine Stellenzulage;111,29;Gymnasien, Berufsbildende Schulen, Gemeinschaftsschulen
Sachsen;-;-;keine A 13 Z
Sachsen-Anhalt;Allgemeine Stellenzulage;114,33;Gymnasien, Berufsbildende Schulen
Schleswig-Holstein;Allgemeine Stellenzulage;119,27;Gymnasien, Berufsbildende Schulen
Thüringen;Allgemeine Zulage;115,4;Gymnasien, Berufsbildende Schulen

